mESCs_lnc:1110038B12Rik_hsa	Gm26002
EFs_lnc:1110038B12Rik_hsa	Gm24119
EFs_lnc:1110038B12Rik_hsa	Snora17
mESCs_lnc:1110038B12Rik_hsa	Snora17
mESCs_lnc:1110038B12Rik_hsa	Snora17
mESCs_lnc:1110038B12Rik_hsa	Snora17
mESCs_lnc:1110038B12Rik_hsa	Gm24336
mESCs_lnc:1110038B12Rik_hsa	Gm26387
mESCs_lnc:1110038B12Rik_hsa	Gm25878
EFs_lnc:1110038B12Rik_hsa	Snora68
EFs_lnc:1110038B12Rik_hsa	Snora68
EFs_lnc:1110038B12Rik_hsa	Snora68
EFs_lnc:1110038B12Rik_hsa	Snora68
EFs_lnc:1110038B12Rik_hsa	Snora68
EFs_lnc:1110038B12Rik_hsa	Snora68
mESCs_lnc:1110038B12Rik_hsa	Snora68
mESCs_lnc:1110038B12Rik_hsa	Snora68
mESCs_lnc:1110038B12Rik_hsa	Snora68
mESCs_lnc:1110038B12Rik_hsa	Snora68
mESCs_lnc:1110038B12Rik_hsa	Snora68
mESCs_lnc:1110038B12Rik_hsa	Gm24888
mESCs_lnc:1110038B12Rik_hsa	Gm22673
mESCs_lnc:1110038B12Rik_hsa	Gm23946
mESCs_lnc:1110038B12Rik_hsa	Snord89
mESCs_lnc:1110038B12Rik_hsa	Snora64
mESCs_lnc:1110038B12Rik_hsa	Snora64
mESCs_lnc:1110038B12Rik_hsa	Snora64
mESCs_lnc:1110038B12Rik_hsa	Snora64
mESCs_lnc:1110038B12Rik_hsa	AF357399
mESCs_lnc:1110038B12Rik_hsa	AF357399
mESCs_lnc:1110038B12Rik_hsa	AF357399
mESCs_lnc:1110038B12Rik_hsa	AF357399
mESCs_lnc:1110038B12Rik_hsa	AF357399
mESCs_lnc:1110038B12Rik_hsa	AF357399
mESCs_lnc:1110038B12Rik_hsa	AF357399
mESCs_lnc:1110038B12Rik_hsa	Lncenc1
mESCs_lnc:1110038B12Rik_hsa	Gm22489
mESCs_lnc:1110038B12Rik_hsa	Snord110
mESCs_lnc:1110038B12Rik_hsa	Snord110
mESCs_lnc:1110038B12Rik_hsa	Gm23336
mESCs_lnc:1110038B12Rik_hsa	Rpl3-ps1
mESCs_lnc:1110038B12Rik_hsa	Gm23792
mESCs_lnc:1110038B12Rik_hsa	Snhg3
mESCs_lnc:1110038B12Rik_hsa	Snhg3
mESCs_lnc:1110038B12Rik_hsa	Snhg3
mESCs_lnc:1110038B12Rik_hsa	Snhg3
mESCs_lnc:1110038B12Rik_hsa	Snhg3
mESCs_lnc:1110038B12Rik_hsa	Snhg3
mESCs_lnc:1110038B12Rik_hsa	Snhg3
mESCs_lnc:1110038B12Rik_hsa	Snhg3
mESCs_lnc:1110038B12Rik_hsa	Snhg3
mESCs_lnc:1110038B12Rik_hsa	Snhg3
mESCs_lnc:1110038B12Rik_hsa	Snhg3
mESCs_lnc:1110038B12Rik_hsa	Snhg3
mESCs_lnc:1110038B12Rik_hsa	Snhg3
EFs_lnc:1110038B12Rik_hsa	Snhg12
EFs_lnc:1110038B12Rik_hsa	Snhg12
mESCs_lnc:1110038B12Rik_hsa	Snhg12
mESCs_lnc:1110038B12Rik_hsa	Snhg12
mESCs_lnc:1110038B12Rik_hsa	Snhg12
mESCs_lnc:1110038B12Rik_hsa	Snhg12
