kinase	target
CDK2	CDC6
CDK2	ORC2
CDK2	NUDC
CDK2	CDT1
CDK2	ELF4
CDK2	MLLT4
CDK2	ITGB3BP
CDK2	GTF2F1
CDK2	FOXP3
CDK2	CHD4
CDK2	CROCC
CDK2	EYA3
CDK2	KDM2A
CDK2	PBRM1
CDK2	RAD18
CDK2	PELP1
CDK2	RBL1
CDK2	UBTF
CDK2	CDX2
CDK2	RPS27
CDK2	CDK16
CDK2	CDKN2D
CDK2	NDE1
CDK2	TFAM
CDK2	GATA3
CDK2	SNAPIN
CDK2	HNRNPD
CDK2	HIST1H1A
CDK2	ADRBK1
CDK2	THRAP3
CDK2	ILF3
CDK2	TOPBP1
CDK2	ZYX
CDK2	LIG1
CDK2	RANGAP1
CDK2	MYBL2
CDK2	NCAPH
CDK2	PRPF3
CDK2	RAD9A
CDK2	CALD1
CDK2	GORASP2
CDK2	MKL1
CDK2	NUP153
CDK2	ZC3HC1
CDK2	CIC
CDK2	DLGAP5
CDK2	GIGYF2
CDK2	TPX2
CDK2	TPR
CDK2	SUPT5H
CDK2	HNRNPH1
CDK2	HNRNPH2
CDK2	PRRC2A
CDK2	SORBS3
CDK2	TANC1
CDK2	TNKS1BP1
CDK2	LARP1
CDK2	PML
CDK2	RUNX1
CDK2	MED1
CDK2	DNMT1
CDK2	PPP1CA
CDK2	EZH2
CDK2	FOXO1
CDK2	TCF3
CDK2	PPP1R12C
CDK2	CDKN1B
CDK2	RRN3
CDK2	BARD1
CDK2	CDC7
CDK2	DNM2
CDK2	DTL
CDK2	EFHD2
CDK2	GMPS
CDK2	IREB2
CDK2	KIF22
CDK2	LIG3
CDK2	MCM4
CDK2	NCL
CDK2	NUCKS1
CDK2	PAICS
CDK2	PDS5B
CDK2	PTPN2
CDK2	PYCR2
CDK2	RRM2
CDK2	SAMHD1
CDK2	SCML2
CDK2	TCOF1
CDK2	TK1
CDK2	UBE2A
CDK2	UNG
CDK2	ZC3H11A
CDK2	ZMYM3
CDK2	SIRT2
CDK2	MCM7
CDK2	HMGA1
CDK2	HIST1H1E
CDK2	UHRF1
CDK2	CDK7
CDK2	NUP98
CDK2	DDX3X
CDK2	HMGN5
CDK2	MKI67
CDK2	MYOD1
CDK2	DLG1
CDK2	DNM1L
CDK2	RPS3
CDK2	HNRNPK
CDK2	STMN1
CDK2	POLR2A
CDK2	FOXM1
CDK2	RBL2
CDK2	SKP2
CDK2	TFCP2
CDK2	SMAD3
CDK2	AMOT
CDK2	KAT7
CDK2	CDC25C
CDK2	NPM1
CDK2	PGR
CDK2	MCL1
CDK2	ATF2
CDK2	CEBPB
CDK2	ESR1
CDK2	CTTN
CDK2	GTF2I
CDK2	EIF4G1
CDK2	NUMA1
CDK2	ANKRD17
CDK2	SRRM1
CDK2	FOXK2
CDK2	CCNE1
CDK2	APC
CDK2	SF3B1
CDK2	SUDS3
CDK2	CRMP1
CDK2	DPYSL3
CDK2	NBN
CDK2	RBBP8
CDK2	CHEK1
CDK2	MCM3
CDK2	TP53BP1
CDK2	MDC1
CDK2	ADD3
CDK2	TICRR
CDK2	CHD7
CDK2	RALY
CDK2	EML3
CDK2	XRCC6
CDK2	CCDC6
CDK2	CDKN1A
CDK2	XRCC1
CDK2	BRCA1
CDK2	MCM2
CDK2	CDK2
CDK2	MDM2
CDK2	TP63
CDK2	CRTC2
CHEK1	HIST1H3A
CHEK1	PPP2R5D
CHEK1	MAPT
CHEK1	RB1
CHEK1	TP53
CHEK1	ADD2
CHEK1	ADD1
CHEK1	TP73
CHEK1	SYK
CHEK1	LIG1
CHEK1	PRPF3
CHEK1	NUP153
CHEK1	ZC3HC1
CHEK1	MED1
CHEK1	MKI67
CHEK1	CDC25B
CHEK1	CDC25C
CHEK1	SNCB
CHEK1	ARHGEF2
CHEK1	CTTN
CHEK1	LMNA
CHEK1	EPRS
CHEK1	TRIM28
CHEK1	BLM
CHEK1	FANCD2
CHEK1	UIMC1
CHEK1	CHEK1
CHEK1	MCM3
CHEK1	TP53BP1
CHEK1	MDC1
CHEK1	ADD3
CHEK1	TICRR
CHEK1	CHD7
CHEK1	RALY
CHEK1	EML3
CHEK1	XRCC6
CHEK1	CCDC6
CHEK1	ANKRD12
CHEK1	C17ORF85
CHEK1	ZNF395
CHEK1	ZNF638
CHEK1	ZBTB11
CHEK1	HDLBP
CHEK1	YBX3
CHEK1	YBX2
CHEK1	CWC25
CHEK1	DRG2
CHEK1	TRIP12
CHEK1	TNK1
CHEK1	TLK2
CHEK1	TLK1
CHEK1	TFDP1
CHEK1	E2F6
CHEK1	EBNA1BP2
CHEK1	SSBP1
CHEK1	CTR9
CHEK1	BUD13
CHEK1	FYTTD1
CHEK1	HIVEP1
CHEK1	SLTM
CHEK1	SIN3A
CHEK1	SETMAR
CHEK1	SEPT7
CHEK1	SCAF11
CHEK1	RRP12
CHEK1	RPL19
CHEK1	RPL13
CHEK1	RBM42
CHEK1	RBM26
CHEK1	RAVER1
CHEK1	CAMSAP2
CHEK1	PRRC2C
CHEK1	PRRC2B
CHEK1	PRR5
CHEK1	PROSER2
CHEK1	HNRNPA2B1
CHEK1	PPME1
CHEK1	POP4
CHEK1	PLRG1
CHEK1	CLK3
CHEK1	GTF3C1
CHEK1	OSBPL11
CHEK1	HNRNPM
CHEK1	ERRFI1
CHEK1	CHTOP
CHEK1	BAZ1A
CHEK1	NHS
CHEK1	NEK11
CHEK1	GOLGA4
CHEK1	DDX19A
CHEK1	MYCBP2
CHEK1	DDX19B
CHEK1	MINK1
CHEK1	FANCE
CHEK1	DDX24
CHEK1	MCM5
CHEK1	MATR3
CHEK1	MAD2L1
CHEK1	LAMC1
CHEK1	KPNA1
CHEK1	KIFC1
CHEK1	CAAP1
CHEK1	INF2
CHEK1	CDK13
CHEK1	IDI1
CHEK1	CEP170B
CHEK1	WIZ
CHEK1	PHF2
CHEK1	SENP2
CHEK1	OGT
CHEK1	CSNK2B
CHEK1	FEN1
CHEK1	RANBP2
CHEK1	PHF8
CHEK1	ING1
CHEK1	SRRM2
CHEK1	E2F3
CHEK1	LATS2
CHEK1	CDKN1C
CHEK1	TBC1D4
CHEK1	CDC25A
CHEK1	MDM4
CHEK1	MAP2K1
CHEK1	MAP2K2
CHEK1	CDKN1A
CHEK1	STK4
CHEK1	CLSPN
CHEK1	CDK1
CHEK1	AURKB
CHEK1	LMO7
CHEK1	RBM14
CHEK1	RIF1
CHEK1	MYBBP1A
CHEK1	RACGAP1
CHEK1	H3F3A
CHEK1	RASSF1
CHEK1	KPNA2
CHEK1	MAP4
CHEK1	YBX1
CHEK1	POLDIP3
CHEK1	NFKB1
CHEK1	SPEN
ABL1	EMD
ABL1	ANXA1
ABL1	PLCG1
ABL1	RB1
ABL1	NCOA3
ABL1	PRKD1
ABL1	ENAH
ABL1	TOP1
ABL1	TP73
ABL1	MET
ABL1	DAB1
ABL1	PRKCD
ABL1	NFKBIA
ABL1	CBL
ABL1	ZAP70
ABL1	LASP1
ABL1	ABL1
ABL1	BCR
ABL1	WAS
ABL1	ABL2
ABL1	PDGFRB
ABL1	CAT
ABL1	GPX1
ABL1	PSMA7
ABL1	LGALS3
ABL1	CRK
ABL1	RIN1
ABL1	BMPR1A
ABL1	CDV3
ABL1	ERCC6
